school_name,district_name,county_name,no_of_year12_enrollment,no_of_testtakers,avg_score_for_reading,avg_score_for_english,avg_score_for_math,avg_score_for_science,no_of_testtakers_having_>=21_compositescr,pct_of_testtakers_having_>=21_compositescr
Alta Loma High,Chaffey Joint Union High,San Bernardino,634.0,56.0,23.0,22.0,22.0,22.0,34.0,60.71
Amador High,Amador County Unified,Amador,154.0,17.0,25.0,25.0,25.0,24.0,16.0,94.12
Amador Valley High,Pleasanton Unified,Alameda,654.0,280.0,29.0,29.0,28.0,28.0,258.0,92.14
American Canyon High,Napa Valley Unified,Napa,412.0,41.0,23.0,23.0,24.0,24.0,31.0,75.61
American High,Fremont Unified,Alameda,538.0,136.0,29.0,30.0,30.0,29.0,126.0,92.65
Anaheim High,Anaheim Union High,Orange,722.0,66.0,19.0,18.0,19.0,19.0,23.0,34.85
Analy High,West Sonoma County Union High,Sonoma,262.0,33.0,27.0,27.0,25.0,24.0,27.0,81.82
Anderson W. Clark Magnet High,Glendale Unified,Los Angeles,224.0,21.0,26.0,27.0,26.0,25.0,18.0,85.71
Andrew P. Hill High,East Side Union High,Santa Clara,450.0,26.0,23.0,22.0,23.0,23.0,17.0,65.38
Angelo Rodriguez High,Fairfield-Suisun Unified,Solano,423.0,52.0,25.0,24.0,23.0,24.0,37.0,71.15
Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,128.0,35.0,16.0,17.0,17.0,18.0,6.0,17.14
Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145.0,99.0,18.0,17.0,18.0,18.0,22.0,22.22
Animo Jackie Robinson High,Los Angeles Unified,Los Angeles,148.0,58.0,17.0,15.0,18.0,17.0,10.0,17.24
Animo Leadership High,Lennox,Los Angeles,153.0,127.0,16.0,15.0,17.0,17.0,13.0,10.24
Animo Pat Brown,Los Angeles Unified,Los Angeles,131.0,120.0,15.0,15.0,17.0,16.0,15.0,12.5
Animo Venice Charter High,Los Angeles Unified,Los Angeles,132.0,86.0,17.0,16.0,17.0,17.0,18.0,20.93
Animo Watts College Preparatory Academy,Los Angeles Unified,Los Angeles,128.0,21.0,19.0,18.0,18.0,17.0,8.0,38.1
Ann Sobrato High,Morgan Hill Unified,Santa Clara,292.0,83.0,25.0,24.0,25.0,24.0,69.0,83.13
Antelope High,Roseville Joint Union High,Placer,442.0,92.0,23.0,22.0,22.0,22.0,61.0,66.3
Antelope Valley High,Antelope Valley Union High,Los Angeles,454.0,18.0,21.0,18.0,17.0,19.0,4.0,22.22
Antioch High,Antioch Unified,Contra Costa,456.0,50.0,20.0,18.0,18.0,19.0,15.0,30.0
APEX Academy,Los Angeles Unified,Los Angeles,82.0,30.0,15.0,13.0,15.0,15.0,0.0,0.0
Apple Valley High,Apple Valley Unified,San Bernardino,551.0,55.0,22.0,22.0,20.0,21.0,30.0,54.55
Applied Technology Center,Montebello Unified,Los Angeles,123.0,26.0,20.0,18.0,16.0,18.0,6.0,23.08
Aptos High,Pajaro Valley Unified,Santa Cruz,335.0,65.0,26.0,25.0,24.0,24.0,53.0,81.54
Aragon High,San Mateo Union High,San Mateo,385.0,93.0,28.0,28.0,28.0,26.0,83.0,89.25
Arcadia High,Arcadia Unified,Los Angeles,829.0,192.0,28.0,29.0,28.0,27.0,175.0,91.15
Arcata High,Northern Humboldt Union High,Humboldt,210.0,40.0,28.0,26.0,25.0,25.0,36.0,90.0
Argonaut High,Amador County Unified,Amador,96.0,20.0,23.0,21.0,21.0,21.0,13.0,65.0
Arlington High,Riverside Unified,Riverside,434.0,123.0,18.0,18.0,19.0,18.0,40.0,32.52
Armijo High,Fairfield-Suisun Unified,Solano,500.0,26.0,23.0,24.0,23.0,23.0,18.0,69.23
Arnold O. Beckman High,Tustin Unified,Orange,760.0,225.0,28.0,29.0,28.0,27.0,206.0,91.56
Arroyo Grande High,Lucia Mar Unified,San Luis Obispo,503.0,158.0,23.0,22.0,22.0,22.0,97.0,61.39
Arroyo High,El Monte Union High,Los Angeles,544.0,29.0,22.0,21.0,23.0,22.0,18.0,62.07
Arroyo High,San Lorenzo Unified,Alameda,473.0,32.0,21.0,22.0,23.0,22.0,18.0,56.25
Arroyo Valley High,San Bernardino City Unified,San Bernardino,565.0,51.0,19.0,17.0,18.0,18.0,14.0,27.45
Artesia High,ABC Unified,Los Angeles,344.0,27.0,19.0,18.0,20.0,19.0,10.0,37.04
Arvin High,Kern High,Kern,616.0,71.0,19.0,18.0,18.0,19.0,22.0,30.99
Asawa (Ruth) SF Sch of the Arts A Public School,San Francisco Unified,San Francisco,175.0,39.0,29.0,28.0,24.0,25.0,32.0,82.05
Aspire Alexander Twilight Secondary Academy,San Juan Unified,Sacramento,36.0,44.0,16.0,14.0,17.0,16.0,7.0,15.91
Aspire Benjamin Holt College Preparatory Academy,Lodi Unified,San Joaquin,94.0,98.0,21.0,20.0,20.0,20.0,51.0,52.04
Aspire East Palo Alto Charter,Ravenswood City Elementary,San Mateo,20.0,31.0,16.0,14.0,18.0,15.0,3.0,9.68
Aspire Golden State College Preparatory Academy,Oakland Unified,Alameda,65.0,151.0,18.0,17.0,17.0,17.0,31.0,20.53
Aspire Langston Hughes Academy,Stockton Unified,San Joaquin,83.0,94.0,17.0,16.0,17.0,17.0,17.0,18.09
Aspire Lionel Wilson College Preparatory Academy,Oakland Unified,Alameda,53.0,48.0,15.0,14.0,17.0,15.0,5.0,10.42
Aspire Ollin University Preparatory Academy,Los Angeles County Office of Education,Los Angeles,118.0,133.0,16.0,16.0,17.0,17.0,15.0,11.28
Aspire Pacific Academy,Los Angeles Unified,Los Angeles,97.0,99.0,15.0,14.0,16.0,16.0,7.0,7.07
