school_name,district_name,county_name,no_of_year12_enrollment,no_of_testtakers,avg_score_for_reading,avg_score_for_english,avg_score_for_math,avg_score_for_science,no_of_testtakers_having_>=21_compositescr,pct_of_testtakers_having_>=21_compositescr
Hanford West High,Hanford Joint Union High,Kings,301.0,17.0,21.0,20.0,19.0,20.0,9.0,52.94
Harbor High,Santa Cruz City High,Santa Cruz,179.0,45.0,20.0,19.0,21.0,20.0,17.0,37.78
Harmony Magnet Academy,Porterville Unified,Tulare,109.0,38.0,22.0,21.0,22.0,22.0,21.0,55.26
Hawthorne High,Centinela Valley Union High,Los Angeles,498.0,124.0,18.0,17.0,17.0,17.0,20.0,16.13
Hawthorne Math and Science Academy,Hawthorne,Los Angeles,112.0,112.0,20.0,20.0,21.0,19.0,49.0,43.75
Hayward High,Hayward Unified,Alameda,355.0,37.0,21.0,20.0,20.0,20.0,21.0,56.76
Healdsburg High,Healdsburg Unified,Sonoma,139.0,36.0,24.0,25.0,22.0,22.0,29.0,80.56
Health Careers Academy,Stockton Unified,San Joaquin,96.0,41.0,18.0,17.0,18.0,18.0,11.0,26.83
Hector G. Godinez,Santa Ana Unified,Orange,627.0,72.0,21.0,18.0,20.0,20.0,33.0,45.83
Helen Bernstein High,Los Angeles Unified,Los Angeles,124.0,34.0,15.0,14.0,16.0,15.0,4.0,11.76
Helix High,Grossmont Union High,San Diego,578.0,239.0,22.0,21.0,22.0,21.0,134.0,56.07
Hemet High,Hemet Unified,Riverside,573.0,18.0,25.0,22.0,21.0,20.0,13.0,72.22
Henry High,San Diego Unified,San Diego,506.0,138.0,24.0,24.0,25.0,24.0,104.0,75.36
Henry J. Kaiser High,Fontana Unified,San Bernardino,516.0,467.0,16.0,14.0,16.0,16.0,63.0,13.49
Henry M. Gunn High,Palo Alto Unified,Santa Clara,501.0,223.0,29.0,29.0,29.0,28.0,201.0,90.13
Herbert Hoover High,Fresno Unified,Fresno,360.0,31.0,17.0,15.0,17.0,17.0,4.0,12.9
Hercules High,West Contra Costa Unified,Contra Costa,219.0,20.0,23.0,25.0,22.0,23.0,13.0,65.0
Heritage High,Perris Union High,Riverside,610.0,150.0,19.0,18.0,18.0,19.0,44.0,29.33
Heritage High,Liberty Union High,Contra Costa,574.0,112.0,26.0,25.0,24.0,25.0,87.0,77.68
Hesperia High,Hesperia Unified,San Bernardino,445.0,40.0,20.0,18.0,18.0,18.0,9.0,22.5
High Tech High,San Diego Unified,San Diego,126.0,25.0,25.0,23.0,22.0,23.0,15.0,60.0
High Tech High Chula Vista,SBC - High Tech High,San Diego,147.0,16.0,22.0,19.0,19.0,19.0,6.0,37.5
High Tech High International,San Diego Unified,San Diego,98.0,22.0,22.0,21.0,20.0,19.0,10.0,45.45
High Tech High Media Arts,San Diego Unified,San Diego,90.0,38.0,21.0,21.0,19.0,20.0,19.0,50.0
